"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"ICL2.CFX","20230608","5927","5928.8","5923.4","5947.8","5873.2","5918","5915.6","-10.8","-13.2","14333","1693440.68","112799",""
"ICL2.CFX","20230607","5922.6","5941.2","5934.4","5960.6","5918.2","5927","5928.8","-14.2","-12.4","10883","1292507.24","109423",""
"ICL2.CFX","20230606","6036.2","6038.8","6030.4","6034.2","5915.6","5922.6","5941.2","-116.2","-97.6","14154","1693241.132","110033",""
"ICL2.CFX","20230605","6053.6","6056","6053","6053.6","6021","6036.2","6038.8","-19.8","-17.2","7235","873818.62","106200",""
"ICL2.CFX","20230602","6007.8","6003.8","6027.8","6069.8","6023.4","6053.6","6056","49.8","52.2","9564","1157698.524","105265",""
"ICL2.CFX","20230601","5991.2","5983.6","5982.2","6044","5961.2","6007.8","6003.8","24.2","20.2","12318","1481243.356","106125",""
"ICL2.CFX","20230531","6005","5992.4","5995","6008","5950","5991.2","5983.6","-1.2","-8.8","10218","1221870.628","104996",""
"ICL2.CFX","20230530","5971.6","5962.2","5961.4","6012","5907.4","6005","5992.4","42.8","30.2","10352","1233414.544","104237",""
"ICL2.CFX","20230529","5979","5976","6005.2","6011.8","5941.8","5971.6","5962.2","-4.4","-13.8","8943","1067863.584","103861",""
"ICL2.CFX","20230526","5925.4","5904.2","5916","5991.6","5894.2","5979","5976","74.8","71.8","10563","1255063.292","103586",""
"ICL2.CFX","20230525","5950.8","5968","5948","5982.8","5863","5925.4","5904.2","-42.6","-63.8","13216","1564317.696","104548",""
"ICL2.CFX","20230524","5992.4","6010.6","5981","6012","5941","5950.8","5968","-59.8","-42.6","13336","1593107.656","103707",""
"ICL2.CFX","20230523","6051.4","6053.4","6051.2","6061.2","5991.2","5992.4","6010.6","-61","-42.8","10394","1253772.192","101954",""
"ICL2.CFX","20230522","6064.4","6059.6","6060","6085","6022.4","6051.4","6053.4","-8.2","-6.2","8183","990209.108","100432",""
"ICL2.CFX","20230519","6050.8","6043.8","6040.4","6091","6012.6","6064.4","6059.6","20.6","15.8","9543","1155589.264","100161",""
"ICL2.CFX","20230518","6044","6037.2","6058.8","6078","6021.2","6050.8","6043.8","13.6","6.6","8417","1019344.772","97957",""
"ICL2.CFX","20230517","6045.2","6036.8","6045.2","6073.4","6020.6","6044","6037.2","7.2","0.4","6966","841885.208","96198",""
"ICL2.CFX","20230516","6083.4","6069.6","6084","6085.8","6024.6","6045.2","6036.8","-24.4","-32.8","7074","856370.776","95533",""
"ICL2.CFX","20230515","6007.8","6015","6010.2","6086.8","5965.8","6083.4","6069.6","68.4","54.6","9403","1132412.004","95538",""
"ICL2.CFX","20230512","6065.2","6070","6059","6094.4","6004.4","6007.8","6015","-62.2","-55","7435","897874.252","94677",""
"ICL2.CFX","20230511","6085","6077.4","6098.8","6106.6","6061","6065.2","6070","-12.2","-7.4","5233","636489.404","93618",""
"ICL2.CFX","20230510","6089.8","6105.2","6084.6","6120","6056.6","6085","6077.4","-20.2","-27.8","7220","878436.044","93479",""
"ICL2.CFX","20230509","6140.4","6148.2","6144.4","6170","6089.8","6089.8","6105.2","-58.4","-43","8204","1006087.804","93953",""
"ICL2.CFX","20230508","6108","6099.8","6117","6171.2","6102.4","6140.4","6148.2","40.6","48.4","6871","843341","92075",""
